SERIAL_NUMBER,MODEL_NAME,CARTON_NO,PALLET_NO,VENDOR_SN,ASY_B,HW,FW,DESCRIPTION,SKU,INNER_CARTON_NO,PO_NUMBER,BUNDLE,DN,H_H_PARTNUMBER
BHRC1717LH007343-C,DOORBELL_V3,79457,ASSY0175B016,9884E3CFB3CF,4/29/17 3:33,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007344-C,DOORBELL_V3,79457,ASSY0175B016,9884E3CFB69F,4/29/17 3:33,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007348-C,DOORBELL_V3,79458,ASSY0175B016,9884E3289673,4/29/17 3:43,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007350-C,DOORBELL_V3,79476,ASSY0175B016,9884E3E24520,4/29/17 3:33,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020076,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007352-C,DOORBELL_V3,79458,ASSY0175B016,9884E3CFB16D,4/29/17 3:35,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007354-C,DOORBELL_V3,79457,ASSY0175B016,9884E3CFB4CB,4/29/17 3:33,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007356-C,DOORBELL_V3,79458,ASSY0175B016,9884E3DB51A1,4/29/17 3:28,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007358-C,DOORBELL_V3,79462,ASSY0175B016,9884E3E250D8,4/29/17 3:31,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007360-C,DOORBELL_V3,79457,ASSY0175B016,9884E3E2478D,4/29/17 3:38,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007362-C,DOORBELL_V3,79568,ASSY0175B017,9884E3DB4444,4/29/17 3:30,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020383,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007364-C,DOORBELL_V3,79457,ASSY0175B016,9884E3CFF0B0,4/29/17 3:35,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007365-C,DOORBELL_V3,79479,ASSY0175B016,9884E3DB51AE,4/29/17 3:30,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020093,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007366-C,DOORBELL_V3,79457,ASSY0175B016,9884E3D93B8E,4/29/17 3:34,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007367-C,DOORBELL_V3,79457,ASSY0175B016,9884E3D93A2A,4/29/17 3:35,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007369-C,DOORBELL_V3,79458,ASSY0175B016,9884E3E250E2,4/29/17 3:31,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007371-C,DOORBELL_V3,79456,ASSY0175B016,9884E3266DC3,4/29/17 3:34,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290460,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007376-C,DOORBELL_V3,79462,ASSY0175B016,9884E3D93BC6,4/29/17 3:36,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007377-C,DOORBELL_V3,79462,ASSY0175B016,9884E3DB5199,4/29/17 3:30,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007379-C,DOORBELL_V3,79458,ASSY0175B016,9884E3E24B5F,4/29/17 3:31,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007380-C,DOORBELL_V3,79462,ASSY0175B016,9884E3D93962,4/29/17 3:27,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007381-C,DOORBELL_V3,79462,ASSY0175B016,9884E3CFAFB2,4/29/17 3:26,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007383-C,DOORBELL_V3,79469,ASSY0175B016,9884E3CFAE65,4/29/17 3:27,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020044,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007384-C,DOORBELL_V3,79464,ASSY0175B016,9884E3CFB393,4/29/17 3:28,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020028,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007389-C,DOORBELL_V3,79457,ASSY0175B016,9884E3CFB23C,4/29/17 3:32,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007391-C,DOORBELL_V3,79479,ASSY0175B016,9884E3E24F19,4/29/17 3:32,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020093,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007395-C,DOORBELL_V3,79457,ASSY0175B016,9884E3DB5401,4/29/17 3:29,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007397-C,DOORBELL_V3,79587,ASSY0175B017,9884E3D941A9,4/29/17 3:24,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020425,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007398-C,DOORBELL_V3,79462,ASSY0175B016,9884E32E7148,4/29/17 3:30,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007401-C,DOORBELL_V3,79458,ASSY0175B016,9884E32E6E2F,4/29/17 4:10,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007405-C,DOORBELL_V3,79457,ASSY0175B016,9884E3E5BC55,4/29/17 4:07,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007406-C,DOORBELL_V3,79479,ASSY0175B016,9884E3D93C86,4/29/17 4:04,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020093,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007409-C,DOORBELL_V3,79462,ASSY0175B016,9884E3288FD8,4/29/17 4:04,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007410-C,DOORBELL_V3,79469,ASSY0175B016,9884E3E5BE06,4/29/17 4:15,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020044,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007412-C,DOORBELL_V3,79476,ASSY0175B016,9884E326226C,4/29/17 4:10,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020076,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007413-C,DOORBELL_V3,79456,ASSY0175B016,9884E3DB4CAA,4/29/17 4:06,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290460,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007414-C,DOORBELL_V3,79458,ASSY0175B016,9884E3E5BC51,4/29/17 4:06,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
